valor_original,ocorrencias,categoria,acao_recomendada,country_name_sugerido,state_sigla_sugerido,state_name_sugerido,postal_code_sugerido,observacao
FL 32611 USA,51,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,FL,Florida,32611,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MI 48824 USA,41,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MI,Michigan,48824,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CA 95616 USA,39,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CA,California,95616,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
TX 77843 USA,34,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,TX,Texas,77843,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
IL 61801 USA,34,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,IL,Illinois,61801,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
GA 30602 USA,34,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,GA,Georgia,30602,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
FL 34142 USA,29,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,FL,Florida,34142,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
PA 16802 USA,29,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,PA,Pennsylvania,16802,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
IN 47907 USA,28,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,IN,Indiana,47907,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NY 14853 USA,26,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NY,New York,14853,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
WI 53706 USA,25,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,WI,Wisconsin,53706,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
IA 50011 USA,24,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,IA,Iowa,50011,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NC 27695 USA,23,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NC,North Carolina,27695,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MS 39762 USA,18,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MS,Mississippi,39762,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MA 02115 USA,18,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MA,Massachusetts,02115,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CA 94720 USA,18,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CA,California,94720,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NE 68588 USA,17,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NE,Nebraska,68588,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MD 20705 USA,17,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MD,Maryland,20705,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
OH 43210 USA,16,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,OH,Ohio,43210,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
KS 66506 USA,16,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,KS,Kansas,66506,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MA 02139 USA,15,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MA,Massachusetts,02139,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
VA 24061 USA,15,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,VA,Virginia,24061,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
TN 37996 USA,14,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,TN,Tennessee,37996,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
