nome_variacao_original,ocorrencias,acao_recomendada,destino_sugerido,tipo_sugerido,nome_canonico_sugerido,variacao_a_adicionar,observacao,confianca
China Agr Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,China Agricultural University,China Agr Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Chinese Acad Sci,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Chinese Academy of Sciences,Chinese Acad Sci,Instituição de pesquisa.,Alta
Univ Florida,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Florida,Univ Florida,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Chinese Acad Agr Sci,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Chinese Academy of Agricultural Sciences,Chinese Acad Agr Sci,Instituição de pesquisa.,Alta
Zhejiang Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Zhejiang University,Zhejiang Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
King Saud Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,King Saud University,King Saud Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Minist Agr & Rural Affairs,,mover_para_organizacoes,organizacoes,Órgão público / ministério,Ministry of Agriculture and Rural Affairs,,Não é instituição de ensino; cadastrar em organizacoes.,Alta
Jiangsu Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Jiangsu University,Jiangsu Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Tehran,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Tehran,Univ Tehran,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Tamil Nadu Agr Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Tamil Nadu Agricultural University,Tamil Nadu Agr Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Texas A&M Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Texas A&M University,Texas A&M Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Sao Paulo,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Sao Paulo,Univ Sao Paulo,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Illinois,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Illinois,Univ Illinois,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
USDA ARS,,mover_para_organizacoes,organizacoes,Agência pública de pesquisa,United States Department of Agriculture - Agricultural Research Service,,Não é universidade; pode ficar em organizações/institutos de pesquisa.,Alta
Vellore Inst Technol,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Vellore Institute Technology,Vellore Inst Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Cornell Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Cornell University,Cornell Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Chitkara Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Chitkara University,Chitkara Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Michigan State Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Michigan State University,Michigan State Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Chinese Acad Sci,,adicionar_como_variacao,instituicoes,Universidade,University of Chinese Academy of Sciences,Univ Chinese Acad Sci,Instituição acadêmica real; usar nome oficial completo.,Alta
King Khalid Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,King Khalid University,King Khalid Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Johannesburg,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Johannesburg,Univ Johannesburg,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Wageningen Univ & Res,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Wageningen University & Research,Wageningen Univ & Res,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Calif Davis,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Calif Davis,Univ Calif Davis,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Lovely Profess Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Lovely Profess University,Lovely Profess Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Georgia,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Georgia,Univ Georgia,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Northwest A&F Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Northwest A&F University,Northwest A&F Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Guelph,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Guelph,Univ Guelph,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
