nome_variacao_original,acao_recomendada,destino_sugerido,tipo_sugerido,nome_canonico_sugerido,observacao,confianca
Minist Agr & Rural Affairs,mover_para_organizacoes,organizacoes,Órgão público / ministério,Ministry of Agriculture and Rural Affairs,Não é instituição de ensino; cadastrar em organizacoes.,Alta
USDA ARS,mover_para_organizacoes,organizacoes,Agência pública de pesquisa,United States Department of Agriculture - Agricultural Research Service,Não é universidade; pode ficar em organizações/institutos de pesquisa.,Alta
Minist Agr,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Agricultural,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Minist Educ,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Educ,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
USDA,mover_para_organizacoes,organizacoes,Agência pública,United States Department of Agriculture,Não é universidade.,Alta
Appl Sci Private Univ,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Appl Science Private University,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Brigham & Womens Hosp,mover_para_organizacoes,organizacoes,Hospital,Brigham and Women's Hospital,Não é universidade; hospital/centro médico.,Alta
European Space Agcy,mover_para_organizacoes,organizacoes,Agência internacional,European Space Agency,Não é universidade.,Alta
Dept Primary Ind & Reg Dev,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Department Primary Ind & Reg Dev,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
European Commiss,mover_para_organizacoes,organizacoes,Organismo governamental/internacional,European Commission,Não é universidade.,Alta
Hanumayamma Innovat & Technol Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Hanumayamma Innovat & Technology Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Harvard TH Chan Sch Publ Hlth,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Harvard TH Chan Sch Publ Health,Não cadastrar como instituição de ensino principal.,Alta
