nome_variacao_original,acao_recomendada,destino_sugerido,tipo_sugerido,nome_canonico_sugerido,variacao_a_adicionar,observacao,confianca
Univ Hlth Network,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Health Network,Univ Hlth Network,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Sefako Makgatho Hlth Sci Univ,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Sefako Makgatho Health Science University,Sefako Makgatho Hlth Sci Univ,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Gold Coast Univ Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário,Gold Coast University Hospital,Gold Coast Univ Hosp,"Cadastrar como unidade/hospital, não universidade principal.",Alta
Univ Nebraska Med Ctr,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Nebraska Med Center,Univ Nebraska Med Ctr,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Wageningen & Res Ctr,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,University Wageningen & Research Center,Univ Wageningen & Res Ctr,Parece subunidade de instituição maior.,Média
China Med Univ Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,China Med University Hospital,China Med Univ Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Natl Taiwan Univ Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,National Taiwan University Hospital,Natl Taiwan Univ Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Texas MD Anderson Canc Ctr,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,University Texas MD Anderson Canc Center,Univ Texas MD Anderson Canc Ctr,Parece subunidade de instituição maior.,Média
Hosp Univ Fuenlabrada,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Hospital University Fuenlabrada,Hosp Univ Fuenlabrada,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Hosp Leicester NHS Trust,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Hospital Leicester NHS Trust,Univ Hosp Leicester NHS Trust,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Lithuania Univ Hlth Sci,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Lithuania University Health Science,Lithuania Univ Hlth Sci,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Lithuanian Univ Hlth Sci,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Lithuanian University Health Science,Lithuanian Univ Hlth Sci,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Inst Hlth Sci,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Institute Health Science,Univ Inst Hlth Sci,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Med Ctr Schleswig Holstein,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Med Center Schleswig Holstein,Univ Med Ctr Schleswig Holstein,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Oregon Hlth & Sci Univ,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Oregon Health & Science University,Oregon Hlth & Sci Univ,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Ctr Univ FEI,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,Center University FEI,Ctr Univ FEI,Parece subunidade de instituição maior.,Média
Univ Hlth Sci,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Health Science,Univ Hlth Sci,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Sao Paulo ESALQ USP,mover_para_unidades,instituicao_unidades,Unidade de instituição,Universidade de São Paulo | Escola Superior de Agricultura Luiz de Queiroz,Univ Sao Paulo ESALQ USP,ESALQ é unidade da USP; vincular à USP.,Alta
Uniformed Serv Univ Hlth Sci,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Uniformed Serv University Health Science,Uniformed Serv Univ Hlth Sci,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Kangwon Natl Univ Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Kangwon National University Hospital,Kangwon Natl Univ Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Florida Hlth Res,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Florida Health Research,Univ Florida Hlth Res,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Natl Taipei Univ Nursing & Hlth Sci,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,National Taipei University Nursing & Health Science,Natl Taipei Univ Nursing & Hlth Sci,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Ctr Hosp Univ Besancon,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Center Hospital University Besancon,Ctr Hosp Univ Besancon,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Hosp Univ Ramon y Cajal,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Hospital University Ramon y Cajal,Hosp Univ Ramon y Cajal,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Hosp Univ Mutua Terrassa,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Hospital University Mutua Terrassa,Hosp Univ Mutua Terrassa,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
SND Coll Engn & Res Ctr,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,SND College Engineering & Research Center,SND Coll Engn & Res Ctr,Parece subunidade de instituição maior.,Média
Copenhagen Univ Hosp Amager & Hvidovre,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Copenhagen University Hospital Amager & Hvidovre,Copenhagen Univ Hosp Amager & Hvidovre,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Delhi South Campus,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,University Delhi South Campus,Univ Delhi South Campus,Parece subunidade de instituição maior.,Média
Peking Univ First Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Peking University First Hospital,Peking Univ First Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Helsinki Univ Cent Hosp Lab HUSLAB,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Helsinki University Cent Hospital Lab HUSLAB,Helsinki Univ Cent Hosp Lab HUSLAB,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
MedStar Georgetown Univ Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,MedStar Georgetown University Hospital,MedStar Georgetown Univ Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Cent South Univ Xiangya Med Coll Affiliated Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Cent South University Xiangya Med College Affiliated Hospital,Cent South Univ Xiangya Med Coll Affiliated Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Muhimbili Univ Hlth & Allied Sci,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Muhimbili University Health & Allied Science,Muhimbili Univ Hlth & Allied Sci,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Kamuzu Univ Hlth Sci,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Kamuzu University Health Science,Kamuzu Univ Hlth Sci,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Teaching Hosp Kigali,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Teaching Hospital Kigali,Univ Teaching Hosp Kigali,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Heidelberg Univ Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Heidelberg University Hospital,Heidelberg Univ Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Cihan Univ Sulaimaniya Res Ctr CUSRC,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,Cihan University Sulaimaniya Research Center CUSRC,Cihan Univ Sulaimaniya Res Ctr CUSRC,Parece subunidade de instituição maior.,Média
Jena Univ Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Jena University Hospital,Jena Univ Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Hosp Univ Ramon & Cajal,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Hospital University Ramon & Cajal,Hosp Univ Ramon & Cajal,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Hosp Univ Mostoles,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Hospital University Mostoles,Hosp Univ Mostoles,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Clin Univ Colombia,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Clin University Colombia,Clin Univ Colombia,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Global Hlth Equity,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Global Health Equity,Univ Global Hlth Equity,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Hosp Larissa,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Hospital Larissa,Univ Hosp Larissa,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Johns Hopkins Univ Bloomberg Sch Publ Hlth,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Johns Hopkins University Bloomberg Sch Publ Health,Johns Hopkins Univ Bloomberg Sch Publ Hlth,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Hosp Tubingen,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Hospital Tubingen,Univ Hosp Tubingen,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Hosp Munster,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Hospital Munster,Univ Hosp Munster,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Putra Malaysia Bintulu Sarawak Campus,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,University Putra Malaysia Bintulu Sarawak Campus,Univ Putra Malaysia Bintulu Sarawak Campus,Parece subunidade de instituição maior.,Média
Sci Campus Univ Que Basque Country,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,Science Campus University Que Basque Country,Sci Campus Univ Que Basque Country,Parece subunidade de instituição maior.,Média
Univ Hosp Derby & Burton,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Hospital Derby & Burton,Univ Hosp Derby & Burton,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Qinghai Univ Affiliated Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Qinghai University Affiliated Hospital,Qinghai Univ Affiliated Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Sasmon Assuta Ashdod Univ Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Sasmon Assuta Ashdod University Hospital,Sasmon Assuta Ashdod Univ Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Kenyatta Univ Teaching Referral & Res Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Kenyatta University Teaching Referral & Research Hospital,Kenyatta Univ Teaching Referral & Res Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Key Lab Smart Anim Husb Univ Inner Mongolia Autono,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,Key Lab Smart Anim Husb University Inner Mongolia Autono,Key Lab Smart Anim Husb Univ Inner Mongolia Autono,Parece subunidade de instituição maior.,Média
Ctr Univ Varzea Grande UNIVAG,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,Center University Varzea Grande UNIVAG,Ctr Univ Varzea Grande UNIVAG,Parece subunidade de instituição maior.,Média
Univ Med Ctr Gottingen,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Med Center Gottingen,Univ Med Ctr Gottingen,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Michigan Hlth Syst,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Michigan Health Syst,Univ Michigan Hlth Syst,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Rajamangala Univ Technol Isan Sakon Nakhon Campus,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,Rajamangala University Technology Isan Sakon Nakhon Campus,Rajamangala Univ Technol Isan Sakon Nakhon Campus,Parece subunidade de instituição maior.,Média
Fujita Hlth Univ Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Fujita Health University Hospital,Fujita Hlth Univ Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Dow Univ Hlth Sci,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Dow University Health Science,Dow Univ Hlth Sci,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Hosp Plymouth NHS Fdn Trust,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Hospital Plymouth NHS Fdn Trust,Univ Hosp Plymouth NHS Fdn Trust,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Complejo Hosp Univ,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Complejo Hospital University,Complejo Hosp Univ,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Glostrup Univ Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Glostrup University Hospital,Glostrup Univ Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Hosp Univ Teknol MARA HUiTM,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Hospital University Teknol MARA HUiTM,Hosp Univ Teknol MARA HUiTM,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Fed Univ Hlth Sci Porto Alegre,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Federal University Health Science Porto Alegre,Fed Univ Hlth Sci Porto Alegre,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Loyola Univ Med Ctr,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Loyola University Med Center,Loyola Univ Med Ctr,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
IMS Coll Univ Courses Campus,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,IMS College University Courses Campus,IMS Coll Univ Courses Campus,Parece subunidade de instituição maior.,Média
Univ Hosp Southampton NHS Trust,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Hospital Southampton NHS Trust,Univ Hosp Southampton NHS Trust,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Texas Hlth Sci Ctr Houston,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Texas Health Science Center Houston,Univ Texas Hlth Sci Ctr Houston,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Texas Hlth San Antonio,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Texas Health San Antonio,Univ Texas Hlth San Antonio,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Hlth,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Health,Univ Hlth,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Fu Jen Catholic Univ Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Fu Jen Catholic University Hospital,Fu Jen Catholic Univ Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Taipei Med Univ Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Taipei Med University Hospital,Taipei Med Univ Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Natl Yang Ming Chiao Tung Univ Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,National Yang Ming Chiao Tung University Hospital,Natl Yang Ming Chiao Tung Univ Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Hosp Univ Miguel Servet,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Hospital University Miguel Servet,Hosp Univ Miguel Servet,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Hosp Derby & Burton NHS Fdn Trust,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Hospital Derby & Burton NHS Fdn Trust,Univ Hosp Derby & Burton NHS Fdn Trust,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Myongji Univ Nat Sci Campus,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,Myongji University Nat Science Campus,Myongji Univ Nat Sci Campus,Parece subunidade de instituição maior.,Média
Univ Texas Southwestern Med Ctr,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Texas Southwestern Med Center,Univ Texas Southwestern Med Ctr,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Second Hosp Jilin Univ,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Second Hospital Jilin University,Second Hosp Jilin Univ,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Utah Hlth,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Utah Health,Univ Utah Hlth,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Hosp Geneva,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Hospital Geneva,Univ Hosp Geneva,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Taylors Univ Lakeside Campus,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,Taylors University Lakeside Campus,Taylors Univ Lakeside Campus,Parece subunidade de instituição maior.,Média
Univ Sao Paulo CENA USP,mover_para_unidades,instituicao_unidades,Unidade de instituição,Universidade de São Paulo | Centro de Energia Nuclear na Agricultura,Univ Sao Paulo CENA USP,CENA é unidade da USP; vincular à USP.,Alta
Portiuncula Univ Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Portiuncula University Hospital,Portiuncula Univ Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Med Ctr Ho Chi Minh City,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Med Center Ho Chi Minh City,Univ Med Ctr Ho Chi Minh City,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Invas Cardiol Nam Can Tho Univ,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Invas Cardiol Nam Can Tho University,Invas Cardiol Nam Can Tho Univ,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Oxford Univ Hosp NHS Fdn Trust,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Oxford University Hospital NHS Fdn Trust,Oxford Univ Hosp NHS Fdn Trust,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Peking Univ Third Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Peking University Third Hospital,Peking Univ Third Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Sao Paulo ESALQ,mover_para_unidades,instituicao_unidades,Unidade de instituição,Universidade de São Paulo | Escola Superior de Agricultura Luiz de Queiroz,Univ Sao Paulo ESALQ,ESALQ é unidade da USP; vincular à USP.,Alta
Abdelhafid Boussouf Univ Ctr,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,Abdelhafid Boussouf University Center,Abdelhafid Boussouf Univ Ctr,Parece subunidade de instituição maior.,Média
Hosp Univ Canarias,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Hospital University Canarias,Hosp Univ Canarias,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Rochester Inst Technol Dubai Campus,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,Rochester Institute Technology Dubai Campus,Rochester Inst Technol Dubai Campus,Parece subunidade de instituição maior.,Média
Harbor Univ Calif Los Angeles Med Ctr,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Harbor University Calif Los Angeles Med Center,Harbor Univ Calif Los Angeles Med Ctr,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Texas Hlth Sci Ctr San Antonio,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Texas Health Science Center San Antonio,Univ Texas Hlth Sci Ctr San Antonio,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Hosp Coventry & Warwickshire,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Hospital Coventry & Warwickshire,Univ Hosp Coventry & Warwickshire,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Odense Univ Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Odense University Hospital,Odense Univ Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Ctr Tamanrasset,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,University Center Tamanrasset,Univ Ctr Tamanrasset,Parece subunidade de instituição maior.,Média
Univ Campus Biomed Roma,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,University Campus Biomed Roma,Univ Campus Biomed Roma,Parece subunidade de instituição maior.,Média
Univ Hlth & Allied Sci,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Health & Allied Science,Univ Hlth & Allied Sci,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Ospedali Riuniti Univ Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Ospedali Riuniti University Hospital,Ospedali Riuniti Univ Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Hosp & Telehlth Network Minas Gerais,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Hospital & Telehlth Network Minas Gerais,Univ Hosp & Telehlth Network Minas Gerais,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Ctr Univ Varzea Grande,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,Center University Varzea Grande,Ctr Univ Varzea Grande,Parece subunidade de instituição maior.,Média
Lab Slovak Univ Agr Nitra,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,Lab Slovak University Agricultural Nitra,Lab Slovak Univ Agr Nitra,Parece subunidade de instituição maior.,Média
Jadavpur Univ Campus,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,Jadavpur University Campus,Jadavpur Univ Campus,Parece subunidade de instituição maior.,Média
Assam Univ Diphu Campus,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,Assam University Diphu Campus,Assam Univ Diphu Campus,Parece subunidade de instituição maior.,Média
Univ Vermont Hlth,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Vermont Health,Univ Vermont Hlth,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
North Univ Ctr Baia Mare,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,North University Center Baia Mare,North Univ Ctr Baia Mare,Parece subunidade de instituição maior.,Média
Campus Univ,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,Campus University,Campus Univ,Parece subunidade de instituição maior.,Média
Louisiana State Univ Agr Ctr,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,Louisiana State University Agricultural Center,Louisiana State Univ Agr Ctr,Parece subunidade de instituição maior.,Média
Univ Tokyo Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Tokyo Hospital,Univ Tokyo Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Campus Univ Autonoma Barcelona UAB,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,Campus University Autonoma Barcelona UAB,Campus Univ Autonoma Barcelona UAB,Parece subunidade de instituição maior.,Média
Univ Tecnol Ctr Amer UNITEC,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,University Tecnol Center Amer UNITEC,Univ Tecnol Ctr Amer UNITEC,Parece subunidade de instituição maior.,Média
Thomas Jefferson Univ Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Thomas Jefferson University Hospital,Thomas Jefferson Univ Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Med Ctr Groningen,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Med Center Groningen,Univ Med Ctr Groningen,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Sun Yat Sen Univ Shenzhen Campus,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,Sun Yat Sen University Shenzhen Campus,Sun Yat Sen Univ Shenzhen Campus,Parece subunidade de instituição maior.,Média
Univ Sao Paulo CENA,mover_para_unidades,instituicao_unidades,Unidade de instituição,Universidade de São Paulo | Centro de Energia Nuclear na Agricultura,Univ Sao Paulo CENA,CENA é unidade da USP; vincular à USP.,Alta
Shimane Univ Hosp,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Shimane University Hospital,Shimane Univ Hosp,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
