nome_variacao_original,acao_recomendada,destino_sugerido,tipo_sugerido,nome_canonico_sugerido,variacao_a_adicionar,observacao,confianca
China Agr Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,China Agricultural University,China Agr Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Florida,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Florida,Univ Florida,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Zhejiang Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Zhejiang University,Zhejiang Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
King Saud Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,King Saud University,King Saud Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Jiangsu Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Jiangsu University,Jiangsu Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Tehran,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Tehran,Univ Tehran,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Tamil Nadu Agr Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Tamil Nadu Agricultural University,Tamil Nadu Agr Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Texas A&M Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Texas A&M University,Texas A&M Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Sao Paulo,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Sao Paulo,Univ Sao Paulo,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Illinois,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Illinois,Univ Illinois,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Vellore Inst Technol,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Vellore Institute Technology,Vellore Inst Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Cornell Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Cornell University,Cornell Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Chitkara Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Chitkara University,Chitkara Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Michigan State Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Michigan State University,Michigan State Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Chinese Acad Sci,adicionar_como_variacao,instituicoes,Universidade,University of Chinese Academy of Sciences,Univ Chinese Acad Sci,Instituição acadêmica real; usar nome oficial completo.,Alta
King Khalid Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,King Khalid University,King Khalid Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Johannesburg,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Johannesburg,Univ Johannesburg,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Wageningen Univ & Res,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Wageningen University & Research,Wageningen Univ & Res,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Calif Davis,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Calif Davis,Univ Calif Davis,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Lovely Profess Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Lovely Profess University,Lovely Profess Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Georgia,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Georgia,Univ Georgia,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Northwest A&F Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Northwest A&F University,Northwest A&F Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Guelph,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Guelph,Univ Guelph,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Punjab Agr Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Punjab Agricultural University,Punjab Agr Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Agr Faisalabad,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Agricultural Faisalabad,Univ Agr Faisalabad,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Penn State Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Penn State University,Penn State Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Sydney,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Sydney,Univ Sydney,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Melbourne,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Melbourne,Univ Melbourne,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Agr Univ Athens,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Agricultural University Athens,Agr Univ Athens,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Iowa State Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Iowa State University,Iowa State Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
King Faisal Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,King Faisal University,King Faisal Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Islamic Azad Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Islamic Azad University,Islamic Azad Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Nanjing Agr Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Nanjing Agricultural University,Nanjing Agr Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
South China Agr Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,South China Agricultural University,South China Agr Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Purdue Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Purdue University,Purdue Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
King Abdulaziz Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,King Abdulaziz University,King Abdulaziz Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Cordoba,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Cordoba,Univ Cordoba,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Padua,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Padua,Univ Padua,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Tarbiat Modares Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Tarbiat Modares University,Tarbiat Modares Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Natl Inst Technol,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,National Institute Technology,Natl Inst Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Politecn Valencia,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Politécnica Valencia,Univ Politecn Valencia,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
King Fahd Univ Petr & Minerals,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,King Fahd University Petroleum & Minerals,King Fahd Univ Petr & Minerals,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Kebangsaan Malaysia,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Kebangsaan Malaysia,Univ Kebangsaan Malaysia,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Wuhan Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Wuhan University,Wuhan Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Huazhong Agr Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Huazhong Agricultural University,Huazhong Agr Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Queensland,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Queensland,Univ Queensland,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Chonnam Natl Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Chonnam National University,Chonnam Natl Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Tsinghua Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Tsinghua University,Tsinghua Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Shandong Agr Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Shandong Agricultural University,Shandong Agr Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Fed Vicosa,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Federal Vicosa,Univ Fed Vicosa,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Naples Federico II,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Naples Federico II,Univ Naples Federico II,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
North Carolina State Univ,adicionar_como_variacao,instituicoes,Universidade,North Carolina State University,North Carolina State Univ,Variação abreviada.,Alta
Univ Southern Queensland,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Southern Queensland,Univ Southern Queensland,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Taif Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Taif University,Taif Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Tabriz,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Tabriz,Univ Tabriz,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Washington State Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Washington State University,Washington State Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Cairo Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Cairo University,Cairo Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Putra Malaysia,adicionar_como_variacao,instituicoes,Universidade,Universiti Putra Malaysia,Univ Putra Malaysia,Nome oficial usa Universiti.,Alta
Ohio State Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Ohio State University,Ohio State Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
