nome_variacao_original,acao_recomendada,destino_sugerido,tipo_sugerido,nome_canonico_sugerido,variacao_a_adicionar,observacao,confianca
Chinese Acad Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Chinese Academy of Sciences,Chinese Acad Sci,Instituição de pesquisa.,Alta
Chinese Acad Agr Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Chinese Academy of Agricultural Sciences,Chinese Acad Agr Sci,Instituição de pesquisa.,Alta
Beijing Acad Agr & Forestry Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Beijing Acad Agricultural & Forestry Science,Beijing Acad Agr & Forestry Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
ICAR Indian Agr Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,ICAR Indian Agricultural Research Institute,ICAR Indian Agr Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Russian Acad Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Russian Acad Science,Russian Acad Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Manipal Acad Higher Educ,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Manipal Acad Higher Educ,Manipal Acad Higher Educ,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Acad Sci & Innovat Res AcSIR,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Acad Science & Innovat Research AcSIR,Acad Sci & Innovat Res AcSIR,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
CSIRO,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,CSIRO,CSIRO,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Polish Acad Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Polish Acad Science,Polish Acad Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
ICAR Indian Agr Stat Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,ICAR Indian Agricultural Stat Research Institute,ICAR Indian Agr Stat Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Zhejiang Acad Agr Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Zhejiang Acad Agricultural Science,Zhejiang Acad Agr Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
CIRAD,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,CIRAD,CIRAD,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Indian Agr Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Indian Agricultural Research Institute,Indian Agr Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Int Rice Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Int Rice Research Institute,Int Rice Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Int Crops Res Inst Semi Arid Trop,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Int Crops Research Institute Semi Arid Trop,Int Crops Res Inst Semi Arid Trop,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Int Ctr Trop Agr CIAT,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,International Center for Tropical Agriculture,Int Ctr Trop Agr CIAT,Instituição de pesquisa real.,Alta
Embrapa Digital Agr,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Embrapa Digital Agricultural,Embrapa Digital Agr,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Natl Inst Agr Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,National Institute Agricultural Science,Natl Inst Agr Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Chinese Acad Trop Agr Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Chinese Acad Trop Agricultural Science,Chinese Acad Trop Agr Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
China Elect Power Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,China Elect Power Research Institute,China Elect Power Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Int Maize & Wheat Improvement Ctr CIMMYT,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,International Maize and Wheat Improvement Center,Int Maize & Wheat Improvement Ctr CIMMYT,Instituição de pesquisa real; não classificar como universidade.,Alta
CSIRO Agr & Food,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,CSIRO Agricultural & Food,CSIRO Agr & Food,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Acad Romanian Scientists,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Acad Romanian Scientists,Acad Romanian Scientists,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
INRAE,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,INRAE,INRAE,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
ICAR Indian Vet Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,ICAR Indian Vet Research Institute,ICAR Indian Vet Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Arab Acad Sci Technol & Maritime Transport,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Arab Acad Science Technology & Maritime Transport,Arab Acad Sci Technol & Maritime Transport,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
ICAR Natl Dairy Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,ICAR National Dairy Research Institute,ICAR Natl Dairy Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Natl Inst Hort Res,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,National Institute Hort Research,Natl Inst Hort Res,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Agr Res Inst Taiwan,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Agricultural Research Institute Taiwan,Agr Res Inst Taiwan,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
ICAR Natl Inst Agr Econ & Policy Res,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,ICAR National Institute Agricultural Econ & Policy Research,ICAR Natl Inst Agr Econ & Policy Res,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Xinjiang Acad Agr Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Xinjiang Acad Agricultural Science,Xinjiang Acad Agr Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Acad Sinica,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Acad Sinica,Acad Sinica,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Natl Inst Agr Res,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,National Institute Agricultural Research,Natl Inst Agr Res,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Chinese Acad Forestry,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Chinese Acad Forestry,Chinese Acad Forestry,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Kalasalingam Acad Res & Educ,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Kalasalingam Acad Research & Educ,Kalasalingam Acad Res & Educ,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Natl Acad Sci Ukraine,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,National Acad Science Ukraine,Natl Acad Sci Ukraine,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Guangdong Acad Agr Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Guangdong Acad Agricultural Science,Guangdong Acad Agr Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Jiangsu Acad Agr Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Jiangsu Acad Agricultural Science,Jiangsu Acad Agr Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Embrapa Agr Digital,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Embrapa Agricultural Digital,Embrapa Agr Digital,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
CIAT,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,CIAT,CIAT,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
CAAS,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,CAAS,CAAS,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Chinese Acad Meteorol Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Chinese Acad Meteorol Science,Chinese Acad Meteorol Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Int Inst Trop Agr IITA,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,International Institute of Tropical Agriculture,Int Inst Trop Agr IITA,Instituição de pesquisa real.,Alta
Alliance Biovers Int & CIAT,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Alliance Biovers Int & CIAT,Alliance Biovers Int & CIAT,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Anhui Acad Agr Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Anhui Acad Agricultural Science,Anhui Acad Agr Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Int Rice Res Inst IRRI,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,International Rice Research Institute,Int Rice Res Inst IRRI,Instituição de pesquisa real.,Alta
Guangdong Acad Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Guangdong Acad Science,Guangdong Acad Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
CGIAR,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,CGIAR,CGIAR,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
ICAR Natl Rice Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,ICAR National Rice Research Institute,ICAR Natl Rice Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Shandong Acad Agr Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Shandong Acad Agricultural Science,Shandong Acad Agr Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Elect & Telecommun Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Elect & Telecommun Research Institute,Elect & Telecommun Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Natl Inst Space Res INPE,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,National Institute Space Research INPE,Natl Inst Space Res INPE,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
CSIRO Data61,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,CSIRO Data61,CSIRO Data61,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Bangladesh Fisheries Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Bangladesh Fisheries Research Institute,Bangladesh Fisheries Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Ningxia Acad Agr & Forestry Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Ningxia Acad Agricultural & Forestry Science,Ningxia Acad Agr & Forestry Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
