grupo,categoria,quantidade
paises_localidades,total_itens_na_lista,881
paises_localidades,paises_reais,90
paises_localidades,localidades_eua_nao_paises,791
paises_localidades,novos_paises_para_adicionar,86
paises_localidades,variacoes_de_paises_existentes,0
instituicoes,variacoes_analisadas,11075
instituicoes,instituicoes,6259
instituicoes,revisao_manual,3318
instituicoes,organizacoes,1380
instituicoes,instituicao_unidades,118
instituicoes_acao,adicionar_como_variacao_ou_validar_canonico,5663
instituicoes_acao,revisar_manualmente,3315
instituicoes_acao,mover_para_organizacoes,1380
instituicoes_acao,manter_como_instituto_pesquisa,519
instituicoes_acao,mover_para_unidades,118
instituicoes_acao,adicionar_como_variacao,77
instituicoes_acao,revisar,3
