raw,normalized_raw,occurrences,identificacao,acao,tabela,canonical,tipo,pais,parent,confianca,observacao,cadastrar
Sustainable AgriFoodtech Innovat & Res SAFIR,sustainable agrifoodtech innovat res safir,14,Provável nome truncado de centro/organização: “Sustainable AgriFoodtech Innovation and Research (SAFIR)”. Não encontrei fonte pública confiável para validar o nome completo.,REVISAR_MANUALMENTE_ANTES_DE_CADASTRAR,organizacoes ou instituicao_unidades,Sustainable AgriFoodtech Innovation and Research (SAFIR),Centro/organização de pesquisa,Indefinido,Indefinido,baixa,"Como tem 14 ocorrências, é prioritário validar no documento original ou afiliação completa. Se for apenas centro independente, usar organizacoes. Se for centro interno de universidade, usar instituicao_unidades com parent_institution_id.",Não cadastrar como universidade sem validação.
Ctr Energy & Environm Sustainabil,ctr energy environm sustainabil,3,"Provável abreviação de “International Centre for Energy and Environmental Sustainability Research (ICEESR)”, centro ligado à University of Uyo.",CADASTRAR_UNIDADE,instituicao_unidades,International Centre for Energy and Environmental Sustainability Research (ICEESR),Centro de pesquisa,Nigéria,University of Uyo,média,Criar/validar antes a instituição-pai University of Uyo. Cadastrar o raw como original_variation_name.,"Como unidade, não como universidade independente."
Inst Nacl Invest Agr INIA,inst nacl invest agr inia,1,"Abreviação genérica para INIA. Pode significar institutos diferentes dependendo do país: Uruguay, Spain/CSIC, Peru, Chile, Venezuela, Equador etc.",REVISAR_PAIS_DO_DOCUMENTO,instituicoes_ensino + instituicao_variacoes_nome,"Depende do país: ex. Instituto Nacional de Investigación Agropecuaria (INIA, Uruguay) ou Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria (INIA-CSIC, Spain)",Instituto nacional de pesquisa agrícola,Depende do documento,Governo/CSIC conforme país,baixa sem país,"Não cadastrar uma variação global “Inst Nacl Invest Agr INIA” sem checar o país, porque INIA é sigla compartilhada por vários países.",Cadastrar somente após olhar o país associado ao artigo.
Interact Technol Inst ITI LARSyS & ARDITI,interact technol inst iti larsys arditi,1,"String composta. Principal entidade acadêmica: Interactive Technologies Institute (ITI/LARSyS), instituto de pesquisa ligado ao Instituto Superior Técnico. ARDITI é outra organização/regional agency mencionada junto.",CADASTRAR_UNIDADE_E_ORG_SEPARADA,instituicao_unidades + organizacoes,Interactive Technologies Institute (ITI/LARSyS),Instituto/centro de pesquisa,Portugal,Instituto Superior Técnico / Universidade de Lisboa,alta para ITI/LARSyS; média para a string composta,"Para resolver o raw atual, cadastre exatamente esta string como original_variation_name da unidade ITI/LARSyS. Opcionalmente cadastre ARDITI como organizacao separada.",Como unidade acadêmica; não como universidade nova.
Power Nutr,power nutr,1,"Provável empresa/organização privada abreviada como “Power Nutrition”, mas sem validação pública suficiente pelo termo truncado.",REVISAR_MANUALMENTE_ANTES_DE_CADASTRAR,organizacoes,Power Nutrition,Empresa/organização privada,Indefinido,N/A,baixa,"Validar afiliação completa no CSV original antes de cadastrar. Se for marca/empresa, usar organizacoes.",Não cadastrar em instituicoes_ensino.
30 Xueyuan Rd,30 xueyuan rd,1,"Endereço, não instituição.",NAO_CADASTRAR_BLACKLIST,nenhuma,N/A,Endereço/ruído,China provável,N/A,alta,Remover do JSON bruto document.institutions ou criar filtro/blacklist no importador.,Não cadastrar.
12127 Old Oaks Dr,12127 old oaks dr,1,"Endereço, não instituição.",NAO_CADASTRAR_BLACKLIST,nenhuma,N/A,Endereço/ruído,Provável EUA,N/A,alta,Remover do JSON bruto document.institutions ou criar filtro/blacklist no importador.,Não cadastrar.
1180 Ctr Dr,1180 ctr dr,1,"Endereço abreviado: “Center Dr/Drive”, não instituição.",NAO_CADASTRAR_BLACKLIST,nenhuma,N/A,Endereço/ruído,Provável EUA,N/A,alta,Remover do JSON bruto document.institutions ou criar filtro/blacklist no importador.,Não cadastrar.
Retina Care Int,retina care int,1,"Provável organização/clínica “Retina Care International”, mas não validada com segurança a partir do termo truncado.",REVISAR_MANUALMENTE_ANTES_DE_CADASTRAR,organizacoes,Retina Care International,Clínica/organização médica,Indefinido,N/A,baixa,"Se confirmado no artigo, cadastrar em organizacoes como clínica/organização médica. Não é universidade.",Não cadastrar em instituicoes_ensino.
Rooney Heart Inst,rooney heart inst,1,"Provável “Rooney Heart Institute”, unidade/organização médica. O termo está truncado e precisa ser confirmado na afiliação completa.",REVISAR_MANUALMENTE_ANTES_DE_CADASTRAR,organizacoes ou instituicao_unidades,Rooney Heart Institute,Instituto/centro médico,Indefinido,Hospital/sistema de saúde a identificar,baixa,"Se for unidade de hospital, cadastrar como instituicao_unidades somente se houver instituição-pai cadastrada; caso contrário, organizacoes.",Não cadastrar como universidade.
Natl Sch Elect & Telecommun Sfax,natl sch elect telecommun sfax,1,"École nationale d'électronique et des télécommunications de Sfax (ENET’Com), escola pública de ensino superior em Sfax, afiliada à Université de Sfax.",CADASTRAR_UNIDADE,instituicao_unidades ou instituicoes_ensino,École nationale d'électronique et des télécommunications de Sfax (ENET’Com),Escola de ensino superior,Tunísia,Université de Sfax,alta,"Preferível como unidade da Université de Sfax. Se o sistema não tiver a universidade-pai, criar primeiro Université de Sfax.","Como unidade/escola, com parent_institution_id."
